overseersSpawnChance: 0
overseersMin: 0
overseersMax: 0
playerGuideOverseerSpawnChance: 0
Room Setting Templates: Outside
Subregion: Lambent Veil
Room_Attr: WBUA_lot07: PeachLizard-Stay,
Room_Attr: WBUA_lot06: BlueLizard-Like,
Room_Attr: WBUA_lot10: PeachLizard-Stay,CicadaA-Like,CicadaB-Like,Cicada-Like,
Room_Attr: WBUA_lot01: PinkLizard-Like,BlueLizard-Like,
Room_Attr: WBUA_lot03: BlueLizard-Like,
Room_Attr: WBUA_roof06: Vulture-Forbidden,
Room_Attr: WBUA_coast: Vulture-Forbidden,
Room_Attr: WBUA_tract: Vulture-Forbidden,
Room_Attr: WBUA_lot09: CicadaB-Like,CicadaA-Like,Cicada-Like,PinkLizard-Like,CyanLizard-Like,BlueLizard-Like,
Room_Attr: WBUA_inside09: Cicada-Avoid,CicadaA-Avoid,CicadaB-Avoid,
Room_Attr: WBUA_inside08: Cicada-Avoid,CicadaB-Avoid,CicadaA-Avoid,WhiteLizard-Like,
Room_Attr: WBUA_inside06: BlueLizard-Avoid,
Room_Attr: WBUA_lot05: CicadaB-Like,CicadaA-Like,Cicada-Like,
Room_Attr: WBUA_inside04: Cicada-Avoid,CicadaA-Avoid,CicadaB-Avoid,
Room_Attr: WBUA_roof04: PeachLizard-Stay,
Room_Attr: WBUA_inside12: PeachLizard-Avoid,
Room_Attr: WBUA_inside13: PeachLizard-Avoid,Cicada-Avoid,CicadaB-Avoid,CicadaA-Avoid,WhiteLizard-Like,
Room_Attr: WBUA_roof05: PeachLizard-Avoid,Vulture-Forbidden,
Room_Attr: WBUA_vent01: PeachLizard-Avoid,Cicada-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,
Room_Attr: WBUA_vent04: PeachLizard-Avoid,
Room_Attr: WBUA_inside11: PeachLizard-Avoid,
Room_Attr: WBUA_inside07: PeachLizard-Avoid,
Room_Attr: WBUA_inside10: PeachLizard-Forbidden,Cicada-Avoid,CicadaB-Avoid,CicadaA-Avoid,
Room_Attr: WBUA_inside05: PeachLizard-Forbidden,Cicada-Avoid,CicadaA-Avoid,CicadaB-Avoid,
